nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
AAEL01000384.1/2844-2571,189198.99999999983,1458.907923929899,30092019.0,242.67511811772715,0.0004827368714070022,0.502114353515338,1925594.1308406608,1929117.6363140722,596.3893496007482,744.7432648994568,1458.907923929899,4391.260853760265,30091776.32488188,3721494854737.9927,3646.517588860808,1823.258794430404,10.177612623960288,0.29249168721880325,0.06876164623397124,cdbox
AAEE01000003.1/883306-883038,171840.99999999994,1384.6103362048268,26768379.0,173.65143759836138,0.0005218001912620778,0.5009166905053317,1729677.5667753806,1732901.5724933867,524.9106618727114,678.8477272950353,1384.6103362048268,4080.6666976890738,26768205.3485624,3002947859950.0522,3401.8189703940384,1700.9094851970192,10.065569723031064,0.29564421647944794,0.06056536235790416,cdbox
AAZY02000001.1/850089-849864,61839.0,680.4408561330276,8348115.0,61.05872977795194,0.001218217198423864,0.6608262063675767,582163.2891208446,583455.5510641368,181.51926007619744,280.57836290279914,680.4408561330276,1520.8279431089009,8348053.941270222,340420380067.55554,1240.2495802061017,620.1247901030508,9.414176961478105,0.3151618813145659,0.039290705817031,cdbox
ABPA01000112.1/172751-172525,24786.0,457.00076516661863,3201684.0,9.44394418794237,0.003052798622878507,0.9160582928267775,221948.94570148335,222439.44120732797,120.29120700975045,206.70142363497988,457.00076516661863,1222.1044280735778,3201674.556055812,49479305004.62832,1015.4030044385979,507.70150221929896,8.954609283526318,0.32884588603843207,0.06935641325968134,cdbox
ABDB01000050.1/749589-749691,8492.0,158.4897631691975,672000.0,20.53273110428035,0.004043020882399121,0.6626584511260556,66016.44907142462,66339.26981840556,55.85951820448904,85.23925843136071,158.4897631691975,428.4596901202742,671979.4672688957,4400898720.039216,343.2204316889135,171.61021584445675,7.773957733328382,0.37870153669495,0.0536786076148237,cdbox
ABFO01000069.1/3951-4046,7775.999999999995,284.2883606820128,421688.0,27.127772792925054,0.004115226337448562,0.5053213968130318,43958.030529130854,44188.7829310371,132.66787162483357,160.14379056628627,284.2883606820128,868.38181771802,421660.87222720706,1952648536.9263158,708.2380271517337,354.11901357586686,5.653038905495226,0.511286212039453,0.0641238225791595,cdbox
AM270162.1/34733-34641,32593.0,678.0693272169426,2159475.0,127.08869759347364,0.0009511244745804314,0.3012280055569768,225318.61034100136,226539.8583664118,328.20475315793055,356.92891052793465,678.0693272169426,1943.9322680564023,2159347.9113024063,51320307428.67391,1587.0033575284676,793.5016787642338,6.91309822173477,0.42493068758700064,0.08057910273845498,cdbox
AACD01000017.1/202498-202407,14029.999999999995,400.58351635216735,1012004.0,25.634244454482147,0.002185792349726777,0.4332232353079024,105150.24201588886,105726.41203856986,147.3121454555001,202.07853794692764,400.58351635216735,800.7709331613576,1011978.3657555456,11178074202.54945,598.6923952144299,299.34619760721495,7.494671562073336,0.38885549540404296,0.08752732874228365,cdbox
AP007169.1/1056814-1056914,32628.99999999999,584.8953666459356,2712395.0,131.82176069697894,0.0010318019757475459,0.3306994628355461,268664.51371552586,270004.4946649963,311.6458074256848,365.9595455472287,584.8953666459356,1331.2563521013265,2712263.178239303,72902427139.3,965.2968065540978,482.6484032770489,8.233918100938611,0.3578154500964404,0.050160221569159405,cdbox
AM920431.1/1133479-1133568,17067.0,428.4597270357915,1078299.0,67.0,0.0017577781683951485,0.3829163108561375,113899.71559227002,114537.81422979629,173.47807817323908,203.58063718642174,428.4597270357915,1359.1188452972879,1078232.0,13118910888.539326,1155.5382081108662,577.7691040554331,6.673681115150291,0.43824183896627944,0.11962311565766737,cdbox
