nameseq,k1,k2,label
AC005995.3/26676-26542,1.9768858362945916,3.814247955355991,hacabox
AC101774.6/57905-57781,1.9854823469589422,3.8171731634024564,hacabox
AC107774.8/124931-124798,1.96541278053132,3.7603348720370273,hacabox
AC110037.13/145188-145321,1.9552930399302384,3.829835688795026,hacabox
AC116348.3/101703-101837,1.9887100805789442,3.8239819953895093,hacabox
nameseq,k1,k2,label
AC005995.3/26676-26542,1.9768858362945916,3.814247955355991,hacabox
AC101774.6/57905-57781,1.9854823469589422,3.8171731634024564,hacabox
AC107774.8/124931-124798,1.96541278053132,3.7603348720370273,hacabox
AC110037.13/145188-145321,1.9552930399302384,3.829835688795026,hacabox
AC116348.3/101703-101837,1.9887100805789442,3.8239819953895093,hacabox
