nameseq,k1,k2,label
AJ010802.1/1-84,1.9221469622319007,3.729015336154764,cdbox
AAZN01000268.1/117161-117076,1.894740619007484,3.6574279673304027,cdbox
AADM01000279.1/19853-19939,1.9157180469609885,3.6740477625669863,cdbox
AACF01000007.1/69722-69637,1.927939219188107,3.7534191626663356,cdbox
nameseq,k1,k2,label
AJ010802.1/1-84,1.9221469622319007,3.729015336154764,cdbox
AAZN01000268.1/117161-117076,1.894740619007484,3.6574279673304027,cdbox
AADM01000279.1/19853-19939,1.9157180469609885,3.6740477625669863,cdbox
AACF01000007.1/69722-69637,1.927939219188107,3.7534191626663356,cdbox
