nameseq,k1,k2,label
AJ311853.1/1-86,1.9549789494011613,3.681163757371321,cdbox
AL833804.16/187394-187479,1.9813957901692616,3.7476847682486243,cdbox
AY007719.1/710-795,1.9647556426230373,3.6766042508372543,cdbox
AL663066.12/143691-143604,1.92030831014525,3.746948889446103,cdbox
nameseq,k1,k2,label
AJ311853.1/1-86,1.9549789494011613,3.681163757371321,cdbox
AL833804.16/187394-187479,1.9813957901692616,3.7476847682486243,cdbox
AY007719.1/710-795,1.9647556426230373,3.6766042508372543,cdbox
AL663066.12/143691-143604,1.92030831014525,3.746948889446103,cdbox
