nameseq,k1,k2,label
DQ789401|DQ789401.1,0.7483564645726808,0.9228748358040908,real
DQ789402|DQ789402.1,0.7444319820541581,0.9211045364891519,real
DQ789403|DQ789403.1,0.7368827160493827,0.9176750644713351,real
DQ789404|DQ789404.1,0.7473469387755103,0.927536231884058,real
DQ789405|DQ789405.1,0.7396694214876033,0.9221301775147929,real
DQ789406|DQ789406.1,0.7420780204519631,0.9261363636363636,real
DQ789407|DQ789407.1,0.7346745562130177,0.91845703125,real
DQ789408|DQ789408.1,0.736466919135665,0.9256198347107438,real
DQ789409|DQ789409.1,0.74169921875,0.9231544469639708,real
DQ789410|DQ789410.1,0.746964123254618,0.9262137477968274,real
DQ789411|DQ789411.1,0.7407260464193612,0.9224489795918367,real
DQ789412|DQ789412.1,0.7359963269054178,0.9216568047337278,real
DQ789413|DQ789413.1,0.740166656954723,0.9209467455621302,real
DQ789414|DQ789414.1,0.7484444444444445,0.9306062819576333,real
DQ789415|DQ789415.1,0.7421453287197232,0.9246031746031746,real
DQ789416|DQ789416.1,0.7193750000000001,0.9110719435987823,real
DQ789417|DQ789417.1,0.7461650840029218,0.9262525802214299,real
DQ789418|DQ789418.1,0.7264426588750913,0.9119909926815538,real
DQ789419|DQ789419.1,0.7468373723517756,0.9253125,real
DQ789420|DQ789420.1,0.740916955017301,0.9218088661171753,real
DQ789421|DQ789421.1,0.7324444444444445,0.9196493791088386,real
DQ789422|DQ789422.1,0.7365365074756859,0.9155264723378941,real
DQ789423|DQ789423.1,0.7385111529158828,0.9194444444444444,real
DQ789424|DQ789424.1,0.7416888888888888,0.922936449963477,real
DQ789425|DQ789425.1,0.7451873048907388,0.9325137153810562,real
DQ789426|DQ789426.1,0.7364294982698962,0.9247423101537289,real
DQ789427|DQ789427.1,0.7496537396121884,0.9290666666666667,real
DQ789428|DQ789428.1,0.7455197132616488,0.9293478260869565,real
DQ789429|DQ789429.1,0.746508875739645,0.92724609375,real
