classe,metodo,f1_score,recall,fbeta_score,tempo_corrido,modelo
negative,fourier_real,99.51823812801102%,99.86187845303867%,99.31318681318683%,0.5695273876190186s,cd_box_fourier_real_14-04-2023_20-04-08.pickle
negative,fourier_zcurve,99.53051643192488%,99.5973154362416%,99.49048002145345%,0.4112863540649414s,cd_box_fourier_zcurve_14-04-2023_20-04-08.pickle
negative,entropy_shannon,93.46451159522137%,91.22085048010973%,94.86447931526392%,0.2834017276763916s,cd_box_entropy_shannon_14-04-2023_20-04-08.pickle
negative,entropy_tsallis,97.58454106280193%,98.33101529902642%,97.1420719978016%,0.2916536331176758s,cd_box_entropy_tsallis_14-04-2023_20-04-08.pickle
negative,complex,99.86376021798365%,99.86376021798365%,99.86376021798365%,0.35393381118774414s,cd_box_complex_14-04-2023_20-04-08.pickle
negative,fourier_real,99.20212765957447%,99.46666666666667%,99.04407859798195%,0.4472334384918213s,haca_box_fourier_real_14-04-2023_20-04-10.pickle
negative,fourier_zcurve,99.72183588317107%,99.86072423398329%,99.63868816008895%,0.3961799144744873s,haca_box_fourier_zcurve_14-04-2023_20-04-10.pickle
negative,entropy_shannon,91.74443646805456%,86.468200270636%,95.23099850968703%,0.2613074779510498s,haca_box_entropy_shannon_14-04-2023_20-04-10.pickle
negative,entropy_tsallis,99.38229238160604%,99.17808219178083%,99.50522264980759%,0.25513482093811035s,haca_box_entropy_tsallis_14-04-2023_20-04-10.pickle
negative,complex,99.86072423398329%,99.86072423398329%,99.86072423398329%,0.36832380294799805s,haca_box_complex_14-04-2023_20-04-10.pickle
