classe,metodo,f1_score,recall,fbeta_score,tempo_corrido,modelo
negative,fourier_real,99.45054945054946%,99.58734525447042%,99.36865220971725%,0.5948476791381836s,cd_box_fourier_real_14-04-2023_20-00-57.pickle
negative,fourier_zcurve,99.66688874083943%,99.6005326231691%,99.70674486803517%,0.4681851863861084s,cd_box_fourier_zcurve_14-04-2023_20-00-57.pickle
negative,entropy_shannon,92.87226534932957%,89.89071038251366%,94.75806451612902%,0.34412217140197754s,cd_box_entropy_shannon_14-04-2023_20-00-57.pickle
negative,entropy_tsallis,97.27520435967303%,98.34710743801654%,96.64320519761776%,0.2981541156768799s,cd_box_entropy_tsallis_14-04-2023_20-00-57.pickle
negative,complex,99.93031358885017%,99.86072423398329%,99.97211377579477%,0.40215253829956055s,cd_box_complex_14-04-2023_20-00-57.pickle
negative,fourier_real,99.39556749496306%,99.59623149394348%,99.27555674805475%,0.4640212059020996s,haca_box_fourier_real_14-04-2023_20-00-59.pickle
negative,fourier_zcurve,99.58904109589041%,99.72565157750343%,99.50725431152476%,0.42563319206237793s,haca_box_fourier_zcurve_14-04-2023_20-00-59.pickle
negative,entropy_shannon,92.5461254612546%,89.44365192582026%,94.51311425987338%,0.3019418716430664s,haca_box_entropy_shannon_14-04-2023_20-00-59.pickle
negative,entropy_tsallis,99.11864406779661%,99.32065217391305%,98.99783315276274%,0.2808866500854492s,haca_box_entropy_tsallis_14-04-2023_20-00-59.pickle
negative,complex,99.79906229068989%,99.86595174262735%,99.75897161221212%,0.3933980464935303s,haca_box_complex_14-04-2023_20-00-59.pickle
